author_name,repo_name,repo_url,stars
ccxt,ccxt,http://github.com/ccxt/ccxt,23700
discordjs,discord.js,http://github.com/discordjs/discord.js,18400
python-telegram-bot,python-telegram-bot,http://github.com/python-telegram-bot/python-telegram-bot,17900
hubotio,hubot,http://github.com/hubotio/hubot,16100
InstaPy,InstaPy,http://github.com/InstaPy/InstaPy,14000
RasaHQ,rasa,http://github.com/RasaHQ/rasa,13700
wechaty,wechaty,http://github.com/wechaty/wechaty,12300
gunthercox,ChatterBot,http://github.com/gunthercox/ChatterBot,12100
howdyai,botkit,http://github.com/howdyai/botkit,10700
botpress,botpress,http://github.com/botpress/botpress,9600
tgbot-collection,YYeTsBot,http://github.com/tgbot-collection/YYeTsBot,8900
sfyc23,EverydayWechat,http://github.com/sfyc23/EverydayWechat,8800
leon-ai,leon,http://github.com/leon-ai/leon,8600
microsoft,ailab,http://github.com/microsoft/ailab,7000
EZFNDEV,EZFN-Lobbybot,http://github.com/EZFNDEV/EZFN-Lobbybot,6900
microsoft,botframework-sdk,http://github.com/microsoft/botframework-sdk,6700
maxbbraun,trump2cash,http://github.com/maxbbraun/trump2cash,6100
yagop,node-telegram-bot-api,http://github.com/yagop/node-telegram-bot-api,6000
deepmipt,DeepPavlov,http://github.com/deepmipt/DeepPavlov,5600
botman,botman,http://github.com/botman/botman,5600
telegraf,telegraf,http://github.com/telegraf/telegraf,5400
pedroslopez,whatsapp-web.js,http://github.com/pedroslopez/whatsapp-web.js,5200
axa-group,nlp.js,http://github.com/axa-group/nlp.js,4800
jef,streetmerchant,http://github.com/jef/streetmerchant,4800
Mrs4s,go-cqhttp,http://github.com/Mrs4s/go-cqhttp,4200
ohld,igbot,http://github.com/ohld/igbot,4200
Yoctol,bottender,http://github.com/Yoctol/bottender,3900
PokemonGoF,PokemonGo-Bot,http://github.com/PokemonGoF/PokemonGo-Bot,3700
chrisleekr,binance-trading-bot,http://github.com/chrisleekr/binance-trading-bot,3700
orkestral,venom,http://github.com/orkestral/venom,3700
